ipc_section,ipc_name,bns_section,bns_name,category,note
326A,Acid Attack,124,Acid Attack,Hurt,Compensation to victim now mandatory
326B,Attempt to Throw Acid,125,Act Endangering Life or Personal Safety,Hurt,
327,Voluntarily Causing Hurt to Extort,119(1),Voluntarily Causing Hurt to Extort,Hurt,
328,Causing Hurt by Poison,122,Causing Hurt by Means of Poison,Hurt,
329,Voluntarily Causing Grievous Hurt to Extort,119(2),Voluntarily Causing Grievous Hurt to Extort,Hurt,
330,Voluntarily Causing Hurt to Extort Confession,120,Voluntarily Causing Hurt to Extort Confession,Hurt,
331,Voluntarily Causing Grievous Hurt to Extort Confession,120(2),Voluntarily Causing Grievous Hurt to Extort Confession,Hurt,
332,Voluntarily Causing Hurt to Deter Public Servant,121,Voluntarily Causing Hurt to Deter Public Servant,Hurt,
333,Voluntarily Causing Grievous Hurt to Deter Public Servant,121(2),Voluntarily Causing Grievous Hurt to Deter Public Servant,Hurt,
334,Voluntarily Causing Hurt on Provocation,123,Voluntarily Causing Hurt on Provocation,Hurt,
335,Voluntarily Causing Grievous Hurt on Provocation,123(2),Voluntarily Causing Grievous Hurt on Provocation,Hurt,
336,Act Endangering Life or Safety,125,Act Endangering Life or Personal Safety of Others,Hurt,
337,Causing Hurt by Act Endangering Life,125(1),Causing Hurt by Act Endangering Life,Hurt,
338,Causing Grievous Hurt by Act Endangering Life,125(2),Causing Grievous Hurt by Act Endangering Life,Hurt,
339,Wrongful Restraint,126,Wrongful Restraint,Hurt,
340,Wrongful Confinement,127,Wrongful Confinement,Hurt,
341,Punishment for Wrongful Restraint,126(2),Punishment for Wrongful Restraint,Hurt,
342,Punishment for Wrongful Confinement,127(2),Punishment for Wrongful Confinement,Hurt,
343,Wrongful Confinement for 3+ Days,127(3),Wrongful Confinement for Three or More Days,Hurt,
344,Wrongful Confinement for 10+ Days,127(4),Wrongful Confinement for Ten or More Days,Hurt,
345,Wrongful Confinement of Person for Whom Writ Issued,127(5),Wrongful Confinement of Person for Whom Writ Issued,Hurt,
346,Wrongful Confinement in Secret,127(6),Wrongful Confinement in Secret,Hurt,
347,Wrongful Confinement to Extort Property,128,Wrongful Confinement to Extort Property,Hurt,
348,Wrongful Confinement to Extort Confession,128(2),Wrongful Confinement to Extort Confession,Hurt,
349,Force,129,Force,Hurt,
350,Criminal Force,130,Criminal Force,Hurt,
351,Assault,131,Assault,Hurt,
352,Punishment for Assault,131(1),Punishment for Assault or Criminal Force,Hurt,
353,Assault on Public Servant,132,Assault or Criminal Force to Deter Public Servant,Hurt,
354,Assault on Woman (Modesty),74,Assault/Criminal Force to Woman,Women,
354A,Sexual Harassment,75,Sexual Harassment,Women,
354B,Assault to Disrobe,76,Assault/Criminal Force to Disrobe,Women,
354C,Voyeurism,77,Voyeurism,Women,
354D,Stalking,78,Stalking,Women,
355,Assault to Dishonour Person,131(2),Assault to Dishonour Person,Hurt,
356,Assault to Commit Theft,133,Assault in Attempt to Commit Robbery,Hurt,
357,Assault to Wrongfully Confine,134,Assault in Attempt to Wrongfully Confine,Hurt,
358,Assault on Provocation,135,Assault or Criminal Force on Provocation,Hurt,
359,Kidnapping,136,Kidnapping,Kidnapping,
360,Kidnapping from India,137,Kidnapping from India,Kidnapping,
361,Kidnapping from Lawful Guardianship,137(2),Kidnapping from Lawful Guardianship,Kidnapping,
362,Abduction,138,Abduction,Kidnapping,
363,Punishment for Kidnapping,137(3),Punishment for Kidnapping,Kidnapping,7 years + fine
363A,Kidnapping for Begging,139,Kidnapping or Maiming a Minor for Begging,Kidnapping,
364,Kidnapping for Murder,140,Kidnapping or Abducting in Order to Murder,Kidnapping,
364A,Kidnapping for Ransom,140(2),Kidnapping for Ransom,Kidnapping,Death or life imprisonment
365,Kidnapping to Confine Person,141,Kidnapping or Abducting with Intent Secretly to Confine,Kidnapping,
366,Kidnapping Woman to Compel Marriage,142,Kidnapping or Inducing Woman to Compel Marriage,Kidnapping,
366A,Procuration of Minor Girl,143(1),Trafficking of Person,Trafficking,
366B,Importation of Girl,143(2),Trafficking of Person,Trafficking,
367,Kidnapping to Subject to Grievous Hurt,144,Kidnapping to Subject Person to Grievous Hurt,Kidnapping,
368,Wrongfully Concealing Kidnapped Person,145,Wrongfully Concealing or Keeping in Confinement Kidnapped Person,Kidnapping,
369,Kidnapping Child under 10,146,Kidnapping or Abducting Child under Ten Years,Kidnapping,
370,Trafficking of Persons,143,Trafficking of Person,Trafficking,Child trafficking enhanced punishment
370A,Exploitation of Trafficked Person,143(3),Exploitation of Trafficked Person,Trafficking,
371,Habitual Dealing in Slaves,REPEALED,Repealed,Trafficking,
372,Selling Minor for Prostitution,143(4),Selling Minor for Prostitution,Trafficking,
373,Buying Minor for Prostitution,143(5),Buying Minor for Prostitution,Trafficking,
374,Unlawful Compulsory Labour,144(2),Unlawful Compulsory Labour,Trafficking,
375,Rape (definition),63,Rape,Women,
376,Punishment for Rape,64,Punishment for Rape,Women,
376A,Rape causing death,66,Death or PVS from Rape,Women,
376AB,Rape of Woman under 12,65,Punishment for Rape on Woman under Twelve Years,Women,Mandatory 20 years to life
376B,Sexual intercourse by husband (separation),67,Sexual Intercourse by Husband During Separation,Women,
376C,Sexual intercourse by authority,68,Sexual Intercourse by Person in Authority,Women,
376D,Gang Rape,70,Gang Rape,Women,
376DA,Gang Rape on Woman under 16,70(2),Gang Rape on Woman under Sixteen,Women,Life imprisonment mandatory
376DB,Gang Rape on Woman under 12,70(3),Gang Rape on Woman under Twelve,Women,Death penalty possible
376E,Repeat Rape Offender,71,Punishment for Repeat Offenders,Women,
377,Unnatural Offences,REPEALED,Decriminalized (consensual),Women,Consensual same-sex relations decriminalized
378,Theft,303,Theft,Property,
379,Punishment for Theft,303(2),Punishment for Theft,Property,
380,Theft in Dwelling,305,Theft in Dwelling,Property,
381,Theft by Clerk or Servant,306,Theft by Clerk or Servant,Property,
382,Theft after Preparation for Hurt,307,Theft after Preparation Made for Causing Death,Property,
383,Extortion,308,Extortion,Property,
384,Punishment for Extortion,308(2),Punishment for Extortion,Property,
385,Putting Person in Fear to Commit Extortion,308(3),Putting Person in Fear of Injury in Order to Commit Extortion,Property,
386,Extortion by Putting Person in Fear of Death,308(4),Extortion by Putting Person in Fear of Death,Property,
387,Putting Person in Fear of Death to Commit Extortion,308(5),Putting Person in Fear of Death to Commit Extortion,Property,
388,Extortion by Threat of Accusation,308(6),Extortion by Threat of Accusation of Offence,Property,
389,Putting Person in Fear of Accusation,308(7),Putting Person in Fear of Accusation,Property,
390,Robbery,309,Robbery,Property,
391,Dacoity,310,Dacoity,Property,
392,Punishment for Robbery,309(2),Punishment for Robbery,Property,10 years; highway 14 years
393,Attempt to Commit Robbery,309(3),Attempt to Commit Robbery,Property,
394,Voluntarily Causing Hurt in Committing Robbery,309(4),Voluntarily Causing Hurt in Committing Robbery,Property,
395,Punishment for Dacoity,310(2),Punishment for Dacoity,Property,
396,Dacoity with Murder,311,Dacoity with Murder,Property,Death or life imprisonment
397,Robbery with Attempt to Cause Death,309(5),Robbery or Dacoity with Attempt to Cause Death,Property,
398,Attempt to Commit Robbery with Deadly Weapon,309(6),Attempt to Commit Robbery or Dacoity with Deadly Weapon,Property,
399,Making Preparation to Commit Dacoity,312,Making Preparation to Commit Dacoity,Property,
400,Belonging to Gang of Dacoits,313,Belonging to Gang of Dacoits,Property,
401,Belonging to Gang of Thieves,314,Belonging to Gang of Thieves,Property,
402,Assembling for Dacoity,315,Assembling for Purpose of Committing Dacoity,Property,
403,Dishonest Misappropriation,316,Dishonest Misappropriation of Property,Property,
404,Dishonest Misappropriation of Deceased Person's Property,316(2),Dishonest Misappropriation of Property of Deceased,Property,
405,Criminal Breach of Trust,316(3),Criminal Breach of Trust,Property,
406,Punishment for Criminal Breach of Trust,316(4),Punishment for Criminal Breach of Trust,Property,3 years or fine or both
407,Criminal Breach of Trust by Carrier,316(5),Criminal Breach of Trust by Carrier,Property,
408,Criminal Breach of Trust by Clerk,316(6),Criminal Breach of Trust by Clerk or Servant,Property,
409,Criminal Breach of Trust by Public Servant,317,Criminal Breach of Trust by Public Servant,Property,Life imprisonment possible
410,Stolen Property,318,Stolen Property,Property,
411,Receiving Stolen Property,318(2),Dishonestly Receiving Stolen Property,Property,
412,Receiving Stolen Property from Dacoity,318(3),Dishonestly Receiving Property Stolen in Dacoity,Property,
413,Habitually Dealing in Stolen Property,318(4),Habitually Dealing in Stolen Property,Property,
414,Assisting in Concealing Stolen Property,318(5),Assisting in Concealment of Stolen Property,Property,
415,Cheating,318,Cheating,Property,
416,Cheating by Personation,319,Cheating by Personation,Property,
417,Punishment for Cheating,318(2),Punishment for Cheating,Property,
418,Cheating with Knowledge that Wrongful Loss May Ensue,318(3),Cheating with Knowledge of Wrongful Loss,Property,
419,Cheating by Impersonation,319(2),Punishment for Cheating by Personation,Property,Digital impersonation covered
420,Cheating (Dishonest Inducement),318(4),Cheating with Dishonest Inducement,Property,Merged into 318; 7 years + fine
421,Fraudulent Removal of Property,320,Fraudulent Removal or Concealment of Property,Property,
422,Fraudulently Preventing Debt Being Available,320(2),Fraudulently Preventing Debt Being Available for Creditors,Property,
423,Fraudulent Execution of Deed,321,Fraudulent Execution of Deed of Transfer,Property,
424,Dishonest or Fraudulent Removal of Property,322,Dishonest or Fraudulent Removal of Property,Property,
425,Mischief,324,Mischief,Property,
426,Punishment for Mischief,324(2),Punishment for Mischief,Property,
427,Mischief Causing Damage,324(3),Mischief Causing Damage,Property,
428,Mischief by Killing Animal,325,Mischief by Killing or Maiming Animal,Property,
429,Mischief by Killing Cattle,325(2),Mischief by Killing or Maiming Cattle,Property,
430,Mischief by Injury to Works of Irrigation,325(3),Mischief by Injury to Works of Irrigation,Property,
431,Mischief by Injury to Public Road,325(4),Mischief by Injury to Public Road,Property,
432,Mischief by Causing Inundation,325(5),Mischief by Causing Inundation,Property,
433,Mischief by Destroying Lighthouse,325(6),Mischief by Destroying Lighthouse or Sea-marks,Property,
434,Mischief by Destroying or Moving Land-mark,325(7),Mischief by Destroying or Moving Land-mark,Property,
435,Mischief by Fire,326,Mischief by Fire or Explosive Substance,Property,7 years + fine
436,Mischief by Fire on Dwelling House,327,Mischief by Fire or Explosive Substance on Dwelling,Property,Life imprisonment
437,Mischief to Vessel,327(2),Mischief with Intent to Destroy Vessel,Property,
438,Punishment for Mischief to Stranded Vessel,327(3),Punishment for Mischief Committed After Preparation for Hurt,Property,
439,Mischief by Injury to Vessel,327(4),Mischief by Injury to Vessel,Property,
440,Mischief after Preparation for Hurt,328,Mischief after Making Preparation for Causing Death,Property,
441,Criminal Trespass,329,Criminal Trespass,Property,
442,House Trespass,330,House Trespass,Property,
443,Lurking House Trespass,331,Lurking House Trespass,Property,
444,Lurking House Trespass by Night,331(2),Lurking House Trespass by Night,Property,
445,House Breaking,331(3),House Breaking,Property,
446,House Breaking by Night,331(4),House Breaking by Night,Property,
447,Criminal Trespass,329,Criminal Trespass,Property,
448,House Trespass,330,House Trespass,Property,
449,House Trespass to Commit Offence Punishable with Death,331(5),House Trespass to Commit Offence Punishable with Death,Property,
450,House Trespass to Commit Offence Punishable with Life,331(6),House Trespass to Commit Offence Punishable with Imprisonment for Life,Property,
451,House Trespass to Commit Offence,331(7),House Trespass to Commit Offence,Property,
452,House Trespass after Preparation for Hurt,332,House Trespass after Preparation for Hurt,Property,7 years + fine
453,Lurking House Trespass or House Breaking,333,Lurking House Trespass or House Breaking,Property,
454,Lurking House Trespass or House Breaking to Commit Offence,333(2),Lurking House Trespass or House Breaking to Commit Offence,Property,
455,Lurking House Trespass after Preparation for Hurt,333(3),Lurking House Trespass after Preparation for Hurt,Property,
456,Lurking House Trespass or House Breaking by Night,334,Lurking House Trespass or House Breaking by Night,Property,
457,Lurking House Trespass by Night to Commit Offence,334(2),Lurking House Trespass by Night to Commit Offence,Property,
458,Lurking House Trespass by Night after Preparation,334(3),Lurking House Trespass by Night after Preparation,Property,
459,Grievous Hurt Caused During House Trespass,335,Grievous Hurt Caused While Committing House Trespass,Property,
460,Death Caused During House Trespass,335(2),Death Caused During House Trespass,Property,
461,Dishonestly Breaking Open Receptacle,336,Dishonestly Breaking Open Receptacle Containing Property,Property,
462,Punishment for Same Offence when Entrusted,336(2),Punishment for Same Offence when Committed by Person Entrusted,Property,
463,Forgery,336,Forgery,Property,Electronic records now included
464,Making False Document,336(2),Making a False Document,Property,
465,Punishment for Forgery,336(3),Punishment for Forgery,Property,2 years + fine
466,Forgery of Court Record,337,Forgery of Record of Court or of Public Register,Property,
467,Forgery of Valuable Security,338,Forgery of Valuable Security,Property,
468,Forgery for Cheating,338(2),Forgery for Purpose of Cheating,Property,7 years + fine
469,Forgery for Defamation,338(3),Forgery for Purpose of Harming Reputation,Property,
470,Forged Document,339,Forged Document or Electronic Record,Property,
471,Using Forged Document,340,Using as Genuine a Forged Document,Property,
472,Making or Possessing Counterfeit Seal,341,Making or Possessing Instrument for Counterfeiting,Property,
473,Making or Possessing Counterfeit Device,341(2),Making or Possessing Instrument for Counterfeiting,Property,
474,Having Possession of Forged Document,342,Having Possession of Document Known to be Forged,Property,
475,Counterfeiting Device Used for Certification,343,Counterfeiting Device or Mark Used for Authenticating Documents,Property,
476,Counterfeiting Device Used by Public Servant,343(2),Counterfeiting Device Used by Public Servant,Property,
477,Fraudulent Cancellation of Will,344,Fraudulent Cancellation Destruction or Concealment of Will,Property,
477A,Falsification of Accounts,345,Falsification of Accounts,Property,
489A,Counterfeiting Currency Notes,346,Counterfeiting Currency Notes or Bank Notes,Property,
489B,Using Counterfeit Currency,346(2),Using as Genuine Forged or Counterfeit Currency Notes,Property,
489C,Possession of Counterfeit Currency,346(3),Possession of Forged or Counterfeit Currency Notes,Property,
489D,Making or Possessing Instrument for Counterfeiting Currency,346(4),Making or Possessing Instruments for Counterfeiting,Property,
489E,Delivery of Counterfeit Currency,346(5),Delivery of Coin or Currency Note Possessed with Knowledge,Property,
141,Unlawful Assembly,189,Unlawful Assembly,Public Order,
142,Being Member of Unlawful Assembly,190,Being Member of Unlawful Assembly,Public Order,
143,Punishment for Unlawful Assembly,190(2),Punishment of Member of Unlawful Assembly,Public Order,
144,Joining Unlawful Assembly with Deadly Weapon,190(3),Joining Unlawful Assembly Armed with Deadly Weapon,Public Order,
145,Joining or Continuing in Unlawful Assembly,190(4),Joining or Continuing in Unlawful Assembly Knowing it Has Been Commanded to Disperse,Public Order,
146,Rioting,191,Rioting,Public Order,
147,Punishment for Rioting,191(2),Punishment for Rioting,Public Order,
148,Rioting Armed with Deadly Weapon,191(3),Rioting Armed with Deadly Weapon,Public Order,
149,Common Object,191(4),Every Member of Unlawful Assembly Guilty of Offence Committed in Prosecution of Common Object,Public Order,
150,Hiring or Conniving at Hiring of Persons,192,Hiring Conniving at Hiring of Persons to Join Unlawful Assembly,Public Order,
151,Knowingly Joining Unlawful Assembly of 5+,192(2),Knowingly Joining or Continuing in Any Assembly of Five or More Persons,Public Order,
152,Assaulting or Obstructing Public Servant,221,Assault or Obstruction of Public Servant,Public Order,
153,Provoking Breach of Peace,193,Wantonly Giving Provocation with Intent to Cause Riot,Public Order,
153A,Promoting Enmity Between Groups,196,Promoting Enmity Between Groups,Public Order,
153B,Imputations Prejudicial to National Integration,197,Imputations Prejudicial to National Integration,Public Order,
154,Owner or Occupier of Land on Which Unlawful Assembly is Held,194,Owner or Occupier of Land on Which Unlawful Assembly is Held,Public Order,
155,Liability of Person for Whose Benefit Riot is Committed,194(2),Liability of Person for Whose Benefit Riot is Committed,Public Order,
156,Liability of Agent of Owner for Whose Benefit Riot is Committed,194(3),Liability of Agent of Owner or Occupier for Whose Benefit Riot is Committed,Public Order,
157,Harbouring Persons Hired for Riot,195,Harbouring Persons Hired for an Unlawful Assembly,Public Order,
158,Being Hired to Take Part in Riot,195(2),Being Hired to Take Part in an Unlawful Assembly or Riot,Public Order,
159,Affray,192(3),Affray,Public Order,
160,Punishment for Affray,192(4),Punishment for Committing Affray,Public Order,
121,Waging War Against Government,147,Waging or Attempting to Wage War Against Government of India,State Security,Death or life imprisonment
121A,Conspiracy to Wage War,148,Conspiracy to Commit Offences Punishable by Section 147,State Security,
122,Collecting Arms to Wage War,149,Collecting Arms with Intention of Waging War,State Security,
123,Concealing Intent to Wage War,150,Concealing with Intent to Facilitate Design to Wage War,State Security,
124,Assaulting President/Governor,151,Assault on President or Governor,State Security,
124A,Sedition,152,Acts Endangering Sovereignty Unity and Integrity of India,State Security,Sedition replaced; broader scope
125,Waging War Against Friendly Nations,153,Waging War Against Government of any Power in Alliance,State Security,
126,Committing Depredation on Territories of Friendly Nations,154,Committing Depredation on Territories of Power at Peace,State Security,
127,Receiving Property Taken by War or Depredation,155,Receiving Property Taken by War or Depredation,State Security,
128,Public Servant Voluntarily Allowing Prisoner to Escape,256,Public Servant Voluntarily Allowing Prisoner of State to Escape,State Security,
129,Public Servant Negligently Suffering Prisoner to Escape,257,Public Servant Negligently Suffering Prisoner of State to Escape,State Security,
130,Aiding Escape of Prisoner,258,Aiding Escape of Prisoner of State,State Security,
131,Abetting Mutiny,159,Abetting Mutiny or Attempting to Seduce a Soldier,State Security,
132,Abetment of Mutiny if Mutiny is Committed,160,Abetment of Mutiny if Mutiny is Committed in Consequence,State Security,
133,Abetment of Assault by Soldier,161,Abetment of Assault by Soldier Sailor or Airman on Superior Officer,State Security,
134,Abetment of Such Assault if Assault Committed,162,Abetment of Such Assault if the Assault is Committed,State Security,
135,Abetment of Desertion,163,Abetment of Desertion of Soldier Sailor or Airman,State Security,
136,Harbouring Deserter,164,Harbouring Deserter,State Security,
137,Deserter Concealed on Board Merchant Vessel,165,Deserter Concealed on Board Merchant Vessel,State Security,
138,Abetment of Act of Insubordination,166,Abetment of Act of Insubordination by Soldier Sailor or Airman,State Security,
140,Wearing Uniform of Soldier,167,Wearing Garb or Carrying Token Used by Soldier,State Security,
499,Defamation,356,Defamation,Speech,Online defamation now covered
500,Punishment for Defamation,356(2),Punishment for Defamation,Speech,2 years + fine
501,Printing Defamatory Matter,356(3),Printing or Engraving Matter Known to be Defamatory,Speech,
502,Sale of Printed Defamatory Matter,356(4),Sale of Printed or Engraved Substance Containing Defamatory Matter,Speech,
503,Criminal Intimidation,351,Criminal Intimidation,Speech,Cyber threats included
504,Intentional Insult,352,Intentional Insult,Speech,
505,Statements Causing Mischief,353,Statements Conducing to Public Mischief,Speech,
506,Punishment for Criminal Intimidation,351(2),Punishment for Criminal Intimidation,Speech,2 years; 7 years if death threat
507,Criminal Intimidation by Anonymous Communication,351(3),Criminal Intimidation by Anonymous Communication,Speech,
508,Act Caused by Inducing Person to Believe He Will Be Rendered Object of Divine Displeasure,354,Act Caused by Inducing Person to Believe He Will Be Object of Divine Displeasure,Speech,
509,Word/Gesture Insulting Modesty,79,Word/Gesture Insulting Modesty,Women,Online harassment included
510,Misconduct in Public by Drunkard,355,Misconduct in Public by a Drunken Person,Speech,
166,Public Servant Disobeying Law,202,Public Servant Disobeying Law with Intent to Cause Injury,Public Servant,
166A,Public Servant Disobeying Direction,203,Failure to Register FIR,Public Servant,Failure to register FIR now punishable
166B,Non-treatment of Victim,204,Non-treatment of Victim,Public Servant,
167,Public Servant Framing Incorrect Document,205,Public Servant Framing Incorrect Document,Public Servant,
168,Public Servant Unlawfully Engaging in Trade,206,Public Servant Unlawfully Engaging in Trade,Public Servant,
169,Public Servant Unlawfully Purchasing Property,207,Public Servant Unlawfully Buying or Bidding for Property,Public Servant,
170,Personating a Public Servant,208,Personating a Public Servant,Public Servant,
171,Wearing Garb of Public Servant,209,Wearing Garb or Carrying Token Used by Public Servant,Public Servant,
172,Absconding to Avoid Summons,210,Absconding to Avoid Service of Summons,Public Servant,
173,Preventing Service of Summons,211,Preventing Service of Summons or Other Proceeding,Public Servant,
174,Non-attendance in Obedience to Proclamation,212,Non-attendance in Obedience to an Order from Public Servant,Public Servant,
175,Omission to Produce Document,213,Omission to Produce Document to Public Servant,Public Servant,
176,Omission to Give Notice,214,Omission to Give Notice or Information to Public Servant,Public Servant,
177,Furnishing False Information,215,Furnishing False Information,Public Servant,
178,Refusing Oath,216,Refusing Oath or Affirmation When Duly Required,Public Servant,
179,Refusing to Answer Public Servant,217,Refusing to Answer a Question,Public Servant,
180,Refusing to Sign Statement,218,Refusing to Sign Statement,Public Servant,
181,False Statement on Oath,219,False Statement on Oath or Affirmation to Public Servant,Public Servant,
182,False Information to Public Servant,220,False Information with Intent to Cause Public Servant to Use Lawful Power,Public Servant,
183,Resistance to Taking of Property,221,Resistance to the Taking of Property by the Lawful Authority,Public Servant,
184,Obstructing Sale of Property,222,Obstructing Sale of Property Offered for Sale by Authority of Public Servant,Public Servant,
185,Illegal Purchase of Property at Sale by Public Servant,223,Illegal Purchase or Bid for Property Offered for Sale by Authority of Public Servant,Public Servant,
186,Obstruction of Public Servant,224,Voluntarily Obstructing Public Servant in Discharge of Public Functions,Public Servant,
187,Omission to Assist Public Servant,225,Omission to Assist Public Servant,Public Servant,
188,Disobedience to Order by Public Servant,226,Disobedience to Order Duly Promulgated by Public Servant,Public Servant,
189,Threat of Injury to Public Servant,227,Threat of Injury to Public Servant,Public Servant,
190,Threat of Injury to Induce Person to Refrain,228,Threat of Injury to Induce Person to Refrain from Applying for Protection,Public Servant,
191,Giving False Evidence,229,Giving False Evidence,Justice,
192,Fabricating False Evidence,229(2),Fabricating False Evidence,Justice,
193,Punishment for False Evidence,229(3),Punishment for False Evidence,Justice,
194,Giving False Evidence with Intent to Procure Conviction,230,Giving or Fabricating False Evidence with Intent to Procure Conviction,Justice,
195,Giving False Evidence to Procure Conviction for Offence,230(2),Giving or Fabricating False Evidence to Procure Conviction of Capital Offence,Justice,
196,Using Evidence Known to be False,231,Using Evidence Known to be False,Justice,
197,Issuing or Signing False Certificate,232,Issuing or Signing False Certificate,Justice,
198,Using False Certificate,233,Using as True a Certificate Known to be False,Justice,
199,False Statement Made in Declaration,234,False Statement Made in Declaration Which is by Law Receivable as Evidence,Justice,
200,Using as True Such Declaration Known to be False,235,Using as True Such Declaration Knowing it to be False,Justice,
201,Causing Disappearance of Evidence,236,Causing Disappearance of Evidence of Offence,Justice,7 years
202,Intentional Omission to Give Information,237,Intentional Omission to Give Information of Offence,Justice,
203,Giving False Information on Offence,238,Giving False Information Respecting an Offence Committed,Justice,
204,Destruction of Document to Prevent Production,239,Destruction of Document or Electronic Record to Prevent its Production as Evidence,Justice,
205,False Personation for Purpose of Act in Suit,240,False Personation for Purpose of Act or Proceeding in Suit,Justice,
206,Fraudulent Removal to Prevent Seizure,241,Fraudulent Removal or Concealment of Property to Prevent its Seizure,Justice,
207,Fraudulent Claim to Property,242,Fraudulent Claim to Property to Prevent its Seizure,Justice,
208,Fraudulently Suffering Decree for Sum Not Due,243,Fraudulently Suffering Decree for Sum Not Due,Justice,
209,Dishonestly Making False Claim in Court,244,Dishonestly Making False Claim in Court,Justice,
210,Fraudulently Obtaining Decree for Sum Not Due,245,Fraudulently Obtaining Decree for Sum Not Due,Justice,
211,False Charge of Offence,246,False Charge of Offence Made with Intent to Injure,Justice,7 years
212,Harbouring Offender,247,Harbouring Offender,Justice,
213,Taking Gift to Help Recover Stolen Property,248,Taking Gift to Screen an Offender from Punishment,Justice,
214,Offering Gift to Help Recover Stolen Property,248(2),Offering Gift or Restoration of Property in Consideration of Screening Offender,Justice,
215,Taking Gift to Help Apprehend Offender,249,Taking Gift to Help to Recover Stolen Property,Justice,
216,Harbouring Offender Who Has Escaped,250,Harbouring Offender Who Has Escaped from Custody,Justice,
216A,Penalty for Harbouring Robbers or Dacoits,251,Penalty for Harbouring Robbers or Dacoits,Justice,
217,Public Servant Disobeying Law to Save Offender,252,Public Servant Disobeying Direction of Law with Intent to Save Offender,Justice,
218,Public Servant Framing Record to Save Person,253,Public Servant Framing Incorrect Record or Writing to Save Person from Punishment,Justice,
219,Public Servant Corruptly Making Report,254,Public Servant in Judicial Proceeding Corruptly Making Report,Justice,
220,Commitment for Trial by Person Having Authority,255,Commitment for Trial or Confinement by Person Having Authority,Justice,
221,Intentional Omission to Apprehend on Warrant,256,Intentional Omission to Apprehend on the Part of Public Servant Bound to Apprehend,Justice,
222,Intentional Omission to Apprehend Offender,257,Intentional Omission to Apprehend on the Part of Public Servant Bound to Apprehend Person under Sentence,Justice,
223,Escape from Confinement by Negligence,258,Escape from Confinement or Custody Negligently Suffered by Public Servant,Justice,
224,Resistance or Obstruction to Lawful Apprehension,259,Resistance or Obstruction to Lawful Apprehension,Justice,
225,Resistance to Apprehension of Another,260,Resistance or Obstruction to Lawful Apprehension of Another Person,Justice,
225A,Omission to Apprehend or Non-resistance,261,Omission to Apprehend or Sufferance of Escape on Part of Public Servant,Justice,
225B,Resistance in Other Cases,262,Resistance or Obstruction to Lawful Apprehension in Other Cases,Justice,
226,Unlawful Return from Transportation,REPEALED,Transportation abolished,Justice,
227,Violation of Condition of Remission,263,Violation of Condition of Remission of Punishment,Justice,
228,Intentional Insult to Court,264,Intentional Insult or Interruption to Public Servant Sitting in Judicial Proceeding,Justice,
228A,Disclosure of Identity of Victim of Offence,228A,Disclosure of Identity of Victim,Justice,
229,Personating Juror,265,Personating a Juror or Assessor,Justice,
494,Bigamy,82,Bigamy,Marriage,7 years + fine
495,Bigamy with Concealment,83,Bigamy with Concealment,Marriage,10 years + fine
496,Fraudulent Marriage,84,Fraudulent Marriage Ceremony,Marriage,7 years + fine
497,Adultery,REPEALED,Decriminalized,Marriage,Supreme Court ruling incorporated
